"Year,month",subcategory,Leads_per_ad
2019-07,Other Accessories & Parts,6.766750187427154
2019-07,Others,6.491787597209069
2019-07,Pets,6.842481594958257
2019-07,Professional/Business Equipment,6.571115293270786
2019-07,Rooms,8.956730077596887
2019-07,Services,7.27972098660105
2019-07,Shoes,6.126417902379654
2019-07,Sports & Outdoors,5.684860740380048
2019-07,TV/Audio/Video,8.193232803400441
2019-07,Textbooks,6.120365522535959
2019-07,Tickets & Vouchers,9.547926897681482
2019-07,Tours and Holidays,6.2264265898926086
2019-07,Watches & Fashion Accessories,5.793724744258803
2019-07,Wedding,5.692076051012488
2019-08,Accessories for Phones & Gadgets,6.2911585906154395
2019-08,Accommodation & Homestays,6.91664382075632
2019-08,Apartments,7.74754381648831
2019-08,Bags & Wallets,5.795534439221531
2019-08,Bed & Bath,5.816651582010565
2019-08,Business for Sale,10.348747190431464
2019-08,Cameras & Photography,7.587471151663072
2019-08,Car Accessories & Parts,6.29221865779429
2019-08,Cars,8.198707292971445
2019-08,Clothes,5.748156386716442
2019-08,Commercial Properties,5.974384341642909
2019-08,Commercial Vehicle & Boats,7.280408145557879
2019-08,Computers & Accessories,7.263657806753259
2019-08,Food,5.361667861194031
2019-08,Furniture & Decoration,6.002521096037221
2019-08,Games & Consoles,8.697463623862747
2019-08,Garden Items,5.733213614402311
2019-08,Health & Beauty,5.764681976079741
2019-08,Hobby & Collectibles,6.840858034435906
2019-08,Home Appliances & Kitchen,6.499556295401006
2019-08,Houses,7.85517376068596
2019-08,Jobs,12.401645518823118
2019-08,Land,6.577626037263703
2019-08,Mobile Phones & Gadgets,10.303286153228044
2019-08,Moms & Kids,5.820418598707637
2019-08,Motorcycle Accessories & Parts,6.650459213362609
2019-08,Motorcycles,10.435809223939668
2019-08,Music Instruments,5.6677038380913185
2019-08,Music/Movies/Books/Magazines,5.162325737780245
2019-08,Other Accessories & Parts,6.66686976170079
2019-08,Others,6.34397950094829
2019-08,Pets,6.866780904450009
2019-08,Professional/Business Equipment,6.099515168291162
2019-08,Rooms,8.942405522434695
2019-08,Services,7.199187153692923
2019-08,Shoes,5.756172368119134
2019-08,Sports & Outdoors,5.7168137272206385
2019-08,TV/Audio/Video,8.95445819652058
2019-08,Textbooks,5.458792547305304
2019-08,Tickets & Vouchers,8.496039276326812
2019-08,Tours and Holidays,6.339560668110371
2019-08,Watches & Fashion Accessories,5.833576678317847
2019-08,Wedding,5.815237276673286
2019-09,Accessories for Phones & Gadgets,6.37070512752399
2019-09,Accommodation & Homestays,6.743760715748857
2019-09,Apartments,7.947747412796805
2019-09,Bags & Wallets,5.672278605657278
2019-09,Bed & Bath,5.948885502856684
2019-09,Business for Sale,10.205922008173465
2019-09,Cameras & Photography,7.428937681698559
2019-09,Car Accessories & Parts,6.2358243981110055
2019-09,Cars,8.428830969289818
2019-09,Clothes,5.665414130827286
2019-09,Commercial Properties,6.03938588933728
